timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.52968E+15,3,-4,-17,3,2,6,3,8
1.52968E+15,-9,-2,-1,-8,-3,-7,2,-12
1.52968E+15,-2,4,8,7,0,-10,-34,5
1.52968E+15,-2,9,18,2,-4,3,-3,-9
1.52968E+15,-6,-10,-10,-5,-4,4,-3,-5
1.52968E+15,1,9,-17,2,0,-6,-14,-6
1.52968E+15,1,6,27,5,0,7,8,0
1.52968E+15,-2,2,16,-3,-2,-8,-14,-3
1.52968E+15,-1,-25,-48,-9,1,5,9,2
1.52968E+15,3,-2,-2,-3,-4,-2,0,4
1.52968E+15,-5,-11,-12,-6,-4,0,-9,-32
1.52968E+15,-2,9,20,7,-1,-5,-12,4
1.52968E+15,0,15,1,5,1,6,-5,-2
1.52968E+15,-4,-11,5,0,-2,-10,2,-2
1.52968E+15,4,5,-9,0,3,-3,11,7
1.52968E+15,-2,-8,-9,2,-3,12,5,-5
1.52968E+15,3,20,22,10,2,-4,-6,-1
1.52968E+15,2,-4,0,0,1,3,-3,10
1.52968E+15,0,-3,-15,-5,-2,-1,1,3
1.52968E+15,-3,-9,4,-3,-3,-9,0,0
1.52968E+15,1,3,-23,-10,3,3,1,3
1.52968E+15,1,0,32,9,0,7,2,-4
1.52968E+15,0,-13,-32,-14,-7,-8,-6,16
1.52968E+15,4,10,0,1,2,5,11,-2
1.52968E+15,-6,-16,12,2,-2,0,-4,-3
1.52968E+15,0,8,-11,2,1,-8,-16,-4
1.52968E+15,4,17,19,6,0,-6,5,-1
1.52968E+15,0,-15,-20,-2,3,9,2,9
1.52968E+15,1,-3,-11,-4,0,-3,-6,-12
1.52968E+15,0,8,18,6,-1,0,-1,3
1.52968E+15,1,-8,-1,0,2,1,10,7
1.52968E+15,-2,-2,-2,-7,-7,-11,-5,-8
1.52968E+15,2,6,7,-1,-5,-11,-7,-2
1.52968E+15,-5,-9,-9,4,2,1,1,-14
1.52968E+15,-1,-6,-9,0,2,1,-3,-7
1.52968E+15,-3,16,26,7,-4,-17,-13,0
1.52968E+15,0,-2,-7,0,9,22,25,7
1.52968E+15,1,4,-1,0,-2,-14,-18,-3
1.52968E+15,-2,-3,1,-5,-1,-1,-16,-10
